Statistical profiling result from conlog-v8.log, (3625 ticks, 5 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   2848   78.6%          /usr/bin/node
     98    2.7%          /usr/lib/x86_64-linux-gnu/libc.so.6
     11    0.3%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
      4    0.1%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     24    0.7%    3.6%  LazyCompile: *resolve node:path:1091:10
     12    0.3%    1.8%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
      5    0.1%    0.8%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      3    0.1%    0.5%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      3    0.1%    0.5%  LazyCompile: *next /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/router/index.js:176:16
      3    0.1%    0.5%  Function: ^Module._resolveLookupPaths node:internal/modules/cjs/loader:667:38
      2    0.1%    0.3%  RegExp: ^\/signUpError\/?$
      2    0.1%    0.3%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      2    0.1%    0.3%  Function: ^wrapmethods /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express-session/index.js:394:25
      2    0.1%    0.3%  Function: ^handle /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/router/layer.js:86:49
      2    0.1%    0.3%  Function: ^handle /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/router/index.js:136:31
      2    0.1%    0.3%  Function: ^emit node:events:475:44
      2    0.1%    0.3%  Function: ^Writable.write node:internal/streams/writable:333:36
      2    0.1%    0.3%  Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    0.0%    0.2%  RegExp: y{1,4}
      1    0.0%    0.2%  RegExp: ^\s*([^;\s]*)(?:;|\s|$)
      1    0.0%    0.2%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
