Statistical profiling result from sinlog-v8.log, (3690 ticks, 1 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   2890   78.3%          /usr/bin/node
    107    2.9%          /usr/lib/x86_64-linux-gnu/libc.so.6
     17    0.5%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
      4    0.1%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     30    0.8%    4.5%  LazyCompile: *resolve node:path:1091:10
     19    0.5%    2.8%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
      7    0.2%    1.0%  LazyCompile: *next /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/router/index.js:176:16
      4    0.1%    0.6%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      2    0.1%    0.3%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      2    0.1%    0.3%  LazyCompile: *normalizeString node:path:66:25
      2    0.1%    0.3%  LazyCompile: *_write node:internal/streams/writable:283:16
      2    0.1%    0.3%  LazyCompile: *Module._resolveLookupPaths node:internal/modules/cjs/loader:667:38
      2    0.1%    0.3%  Function: ^writeHead node:_http_server:270:19
      2    0.1%    0.3%  Function: ^parserOnIncoming node:_http_server:857:26
      2    0.1%    0.3%  Function: ^expressInit /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/middleware/init.js:29:30
      2    0.1%    0.3%  Function: ^compression /home/tobias/Documentos/coderCursoBack/clase32/node_modules/compression/index.js:59:31
      2    0.1%    0.3%  Function: ^compileFunction node:vm:308:25
      2    0.1%    0.3%  Function: ^assertEncoding node:internal/fs/utils:152:24
      2    0.1%    0.3%  Function: ^_storeHeader node:_http_outgoing:374:22
      2    0.1%    0.3%  Function: ^_addHeaderLines node:_http_incoming:199:25
      1    0.0%    0.1%  RegExp: ^\/signInError\/?$
      1    0.0%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      1    0.0%    0.1%  RegExp: ^.*[\.\/\\]
